name	preview	download
LondrinaSolid-Black	https://fonts.google.com/specimen/Londrina+Solid	https://raw.githubusercontent.com/google/fonts/main/ofl/londrinasolid/LondrinaSolid-Black.ttf
LondrinaSolid-Regular	https://fonts.google.com/specimen/Londrina+Solid	https://raw.githubusercontent.com/google/fonts/main/ofl/londrinasolid/LondrinaSolid-Regular.ttf
LondrinaSolid-Thin	https://fonts.google.com/specimen/Londrina+Solid	https://raw.githubusercontent.com/google/fonts/main/ofl/londrinasolid/LondrinaSolid-Thin.ttf
LondrinaSolid-Light	https://fonts.google.com/specimen/Londrina+Solid	https://raw.githubusercontent.com/google/fonts/main/ofl/londrinasolid/LondrinaSolid-Light.ttf
BalooBhai2-Bold	https://fonts.google.com/specimen/Baloo+Bhai+2	https://raw.githubusercontent.com/google/fonts/main/ofl/baloobhai2/BalooBhai2-Bold.ttf
BalooBhai2-Regular	https://fonts.google.com/specimen/Baloo+Bhai+2	https://raw.githubusercontent.com/google/fonts/main/ofl/baloobhai2/BalooBhai2-Regular.ttf
BalooBhai2-Medium	https://fonts.google.com/specimen/Baloo+Bhai+2	https://raw.githubusercontent.com/google/fonts/main/ofl/baloobhai2/BalooBhai2-Medium.ttf
BalooBhai2-ExtraBold	https://fonts.google.com/specimen/Baloo+Bhai+2	https://raw.githubusercontent.com/google/fonts/main/ofl/baloobhai2/BalooBhai2-ExtraBold.ttf
BalooBhai2-SemiBold	https://fonts.google.com/specimen/Baloo+Bhai+2	https://raw.githubusercontent.com/google/fonts/main/ofl/baloobhai2/BalooBhai2-SemiBold.ttf
Shrikhand-Regular	https://fonts.google.com/specimen/Shrikhand	https://raw.githubusercontent.com/google/fonts/main/ofl/shrikhand/Shrikhand-Regular.ttf
XanhMono-Italic	https://fonts.google.com/specimen/Xanh+Mono	https://raw.githubusercontent.com/google/fonts/main/ofl/xanhmono/XanhMono-Italic.ttf
XanhMono-Regular	https://fonts.google.com/specimen/Xanh+Mono	https://raw.githubusercontent.com/google/fonts/main/ofl/xanhmono/XanhMono-Regular.ttf
LibreBarcode39Text-Regular	https://fonts.google.com/specimen/Libre+Barcode+39Text	https://raw.githubusercontent.com/google/fonts/main/ofl/librebarcode39text/LibreBarcode39Text-Regular.ttf
AlmendraDisplay-Regular	https://fonts.google.com/specimen/Almendra	https://raw.githubusercontent.com/google/fonts/main/ofl/almendradisplay/AlmendraDisplay-Regular.ttf
SuezOne-Regular	https://fonts.google.com/specimen/Suez+One	https://raw.githubusercontent.com/google/fonts/main/ofl/suezone/SuezOne-Regular.ttf
SeoulHangang-Light	https://fonts.google.com/specimen/Seoul+Hangang	https://raw.githubusercontent.com/google/fonts/main/ofl/seoulhangang/SeoulHangang-Light.ttf
SeoulHangang-Bold	https://fonts.google.com/specimen/Seoul+Hangang	https://raw.githubusercontent.com/google/fonts/main/ofl/seoulhangang/SeoulHangang-Bold.ttf
SeoulHangang-ExtraBold	https://fonts.google.com/specimen/Seoul+Hangang	https://raw.githubusercontent.com/google/fonts/main/ofl/seoulhangang/SeoulHangang-ExtraBold.ttf
SeoulHangang-Medium	https://fonts.google.com/specimen/Seoul+Hangang	https://raw.githubusercontent.com/google/fonts/main/ofl/seoulhangang/SeoulHangang-Medium.ttf
JimNightshade-Regular	https://fonts.google.com/specimen/Jim+Nightshade	https://raw.githubusercontent.com/google/fonts/main/ofl/jimnightshade/JimNightshade-Regular.ttf
LoversQuarrel-Regular	https://fonts.google.com/specimen/Lovers+Quarrel	https://raw.githubusercontent.com/google/fonts/main/ofl/loversquarrel/LoversQuarrel-Regular.ttf
Knewave-Regular	https://fonts.google.com/specimen/Knewave	https://raw.githubusercontent.com/google/fonts/main/ofl/knewave/Knewave-Regular.ttf
Yomogi-Regular	https://fonts.google.com/specimen/Yomogi	https://raw.githubusercontent.com/google/fonts/main/ofl/yomogi/Yomogi-Regular.ttf
VesperLibre-Regular	https://fonts.google.com/specimen/Vesper+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/vesperlibre/VesperLibre-Regular.ttf
VesperLibre-Medium	https://fonts.google.com/specimen/Vesper+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/vesperlibre/VesperLibre-Medium.ttf
VesperLibre-Heavy	https://fonts.google.com/specimen/Vesper+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/vesperlibre/VesperLibre-Heavy.ttf
VesperLibre-Bold	https://fonts.google.com/specimen/Vesper+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/vesperlibre/VesperLibre-Bold.ttf
Katibeh-Regular	https://fonts.google.com/specimen/Katibeh	https://raw.githubusercontent.com/google/fonts/main/ofl/katibeh/Katibeh-Regular.ttf
IMFeENrm28P	https://fonts.google.com/specimen/IMFe+ENrm+28P	https://raw.githubusercontent.com/google/fonts/main/ofl/imfellenglish/IMFeENrm28P.ttf
IMFeENit28P	https://fonts.google.com/specimen/IMFe+ENit+28P	https://raw.githubusercontent.com/google/fonts/main/ofl/imfellenglish/IMFeENit28P.ttf
CabinCondensed-Bold	https://fonts.google.com/specimen/Cabin+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/cabincondensed/CabinCondensed-Bold.ttf
CabinCondensed-SemiBold	https://fonts.google.com/specimen/Cabin+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/cabincondensed/CabinCondensed-SemiBold.ttf
CabinCondensed-Medium	https://fonts.google.com/specimen/Cabin+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/cabincondensed/CabinCondensed-Medium.ttf
CabinCondensed-Regular	https://fonts.google.com/specimen/Cabin+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/cabincondensed/CabinCondensed-Regular.ttf
DancingScript-Bold	https://fonts.google.com/specimen/Dancing+Script	https://raw.githubusercontent.com/google/fonts/main/ofl/dancingscript/static/DancingScript-Bold.ttf
DancingScript-Regular	https://fonts.google.com/specimen/Dancing+Script	https://raw.githubusercontent.com/google/fonts/main/ofl/dancingscript/static/DancingScript-Regular.ttf
RumRaisin-Regular	https://fonts.google.com/specimen/Rum+Raisin	https://raw.githubusercontent.com/google/fonts/main/ofl/rumraisin/RumRaisin-Regular.ttf
Assistant-Regular	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-Regular.ttf
Assistant-SemiBold	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-SemiBold.ttf
Assistant-Light	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-Light.ttf
Assistant-ExtraBold	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-ExtraBold.ttf
Assistant-ExtraLight	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-ExtraLight.ttf
